JudgeNameClean,JCountry
AHLERING Julie,USA
ALVARADO Ulises,ECU
ANNAS Michel,GER
AVASILOAE Florin,ROU
AXTELIUS Peter,SWE
AZORIN Daniel,FRA
BAMBER Susan,GBR
BANUELOS Ricardo,MEX
BARBOSA Ana,BRA
BARBOSA Ana Virgina,BRA
BARBOSA Ana Virginia,BRA
BARTAIA Irakli,GEO
BARTH Michael Roger,SUI
BARTOVA Heidemarie,CZE
BEDDOE Valerie,AUS
BEKETOV Andrei,RUS
BEKETOV Andrey,RUS
BIMIS Thomas,GRE
BOUSSARD Michel,FRA
BOYS Bev,CAN
BROOKER Gilian,AUS
BROOKER Gillian,AUS
BUSH Barb,CAN
BUSH Barbara Lee,CAN
BUSH-DAUPHINAIS Barb,CAN
CALDERARA Gianclaudio,ITA
CALDERARA Gianluca,ITA
CALDERON Felix,PUR
COSTA REIS Violeta,BRA
DAMGAARD Lina,SWE
FABER Marc,NED
FEOKTISTOV Eduard,RUS
FRASER Lindsey,GBR
FRASER Lindsey Ann,GBR
GENG Tao,CHN
GILDEMEISTER Peter,GER
GILDERMEISTER Peter,GER
GOLOVAN Anatoliy,UKR
GOLOVAN Anatoly,UKR
HASSAN ABDELRAHMAN Mohamed,EGY
HASSAN Mohamed,EGY
HUFFMAN Cokey,USA
HUFFMAN Coleen,USA
HUFFMAN Colleen,USA
HUSSAN Mohamed,EGY
ILIES Daniela-Mihaela,ROU
ITO Masaaki,JPN
ITO Masaki,JPN
JAFCSAK Zsolt,HUN
JASPER Lin,SGP
KELEMEN Ildiko,HUN
KELEMEN VAN DE KONIJNENBURG Ildiko,HUN
KIM Chun Ok,PRK
KOH BENG Tony Kok,MAS
KOLIC KADIJEVIC Natasa,CRO
KOLIC Natasa,CRO
KOLIC Natasha,CRO
KOLIC Nataša,CRO
KORKUT Burak,TUR
KRYNICKI Bartlomiej,POL
KWAN Amy,USA
KWAN Amy Sue,USA
LANG Rao,CHN
LATIMER Simon,NZL
LEE William,SGP
LER Damien Soon Tien,SGP
LIKACHEVA Yulia,RUS
MATSUMOTO Yukio,JPN
MIN Suck Hong,KOR
MIN Suckhong,KOR
MOLINA PALOMINO Alberto,MEX
MORNEAU Helene,CAN
NAKAGAWA Mai,JPN
NARYSHKIN Uladzimir,BLR
NARYSHKIN Vladzimir,BLR
NEE YEOH Ken,MAS
NG DE ROSARIO Sio Wan,MAC
NG DO ROSARIO Sio Wan,MAC
NOVOTNA Hana,CZE
PACHERNEGG Paul,AUT
PEREZ CANASVERAS Angel Luis,ESP
PETERSON Gord,CAN
PETERSON Gordon,CAN
PIKTURNIENE Ale,LTU
POLAZZO Marco Valerio,ITA
POLAZZO Valerio,ITA
POLLAZZO Valerio,ITA
RAO Lang,CHN
REDHAEI Ali,KUW
REIS Violeta,BRA
RIOS Christina,COL
RIOS Cristina,COL
RIOS HENAO Maria Cristina,COL
ROCHA Sergio,MEX
RODRIGUEZ AMADEO Angelique Marie,PUR
RUIZ PEDREGUERA Rolando,CUB
SCHLEPPS Holger,GER
SCHMIDT Wolf­Dieter,GER
SEN Serkan,TUR
SEOGHONG Min,KOR
SEUFERT-SHOLTIS Chris,USA
STRITT­BURK Carmen,SUI
SUCK Hong Min,KOR
SUCK HONG Min,KOR
SUCKHONG Min,KOR
SZEKFFY Nora,HUN
TCIVINCKI Alexander,RUS
TCIVINSKII Alexander,RUS
TELLEFSEN Arne,NOR
TELLERSEN Arne,NOR
TOMLINSON Vicki,GBR
TOULOUDIS Nikolaos,GRE
TSIVINSKI Alexandr,RUS
van der VOORT Ronald,NED
VAN DER VOORT Ronald,NED
VONG Seng Fat,MAC
VYAS Mayur,IND
WIERNIUK Anna,POL
WRIGHT Lisa,NZL
WU Xiuren,CHN
WU Ying Tan,TPE
WU Ying-Tan,TPE
XIUREN Wu,CHN
YEOH Ken Nee,MAS
YU Jian,CHN
ZAMPIERI Marco,ITA
